transaction_id,account_id,transaction_type,amount,timestamp,description,merchant_name
7296051d-dd55-407b-bdda-0a55be0a907d,58ec007f-73f8-47dc-a722-0dbd665bbbe9,Transfer,4633.32,2025-10-07 01:19:24.986705,Still hotel information.,
b694a9e8-a3fb-4a3f-b6bb-3dc8c7e50eb4,1e721461-0685-4449-8d1b-8f13720baa7f,Withdrawal,-760.79,2025-07-22 14:02:41.208193,Art energy.,"Simpson, Rios and Molina"
6407e375-ef37-404f-b17b-9182af18684d,1e721461-0685-4449-8d1b-8f13720baa7f,Deposit,3196.49,2025-10-14 01:46:17.934832,Century stop Democrat.,
3b52dbc3-93e2-420e-b4d3-78e9133be0b2,1e721461-0685-4449-8d1b-8f13720baa7f,Transfer,688.07,2025-11-26 04:12:43.460096,Success still after glass.,
1b6d5ca4-74df-45c5-b708-a3222c2a6bc1,1e721461-0685-4449-8d1b-8f13720baa7f,Withdrawal,-685.91,2025-04-13 04:47:44.806663,Federal those central.,Stevens PLC
b3353f2a-c8dd-4443-9e3b-705bf4bb3beb,1e721461-0685-4449-8d1b-8f13720baa7f,Deposit,3968.69,2025-11-30 11:51:01.378287,Tv eye contain.,
dd575534-ee72-4579-a8b9-48e380d763e8,8f7f85b9-73fa-4696-99e8-d35867e2098d,Deposit,4294.21,2025-03-21 19:16:39.076206,Trip.,
0be19364-0ff8-4052-ac8e-f6e241aad540,8f7f85b9-73fa-4696-99e8-d35867e2098d,Fee,-21.14,2025-05-27 17:52:54.128644,Yet thank nearly.,
457ce948-2853-407e-9ef3-f185194c5205,8f7f85b9-73fa-4696-99e8-d35867e2098d,Fee,-15.86,2025-10-28 19:27:47.762307,Laugh hour.,
4c0817fc-add0-4564-aced-5b44d62f3fd3,8f7f85b9-73fa-4696-99e8-d35867e2098d,Payment,-628.52,2025-05-23 04:29:50.204806,Energy the.,Nguyen Ltd
96b9a1b4-2498-4f3e-aa52-0bd95419ff46,8f7f85b9-73fa-4696-99e8-d35867e2098d,Fee,-34.86,2025-10-02 10:46:50.267910,Other human.,
