transaction_id,account_id,transaction_type,amount,timestamp,description,merchant_name
5b785f5d-f825-4496-8171-727cb76735f6,3ca282bc-867c-425f-b33e-f93571354551,Payment,-19.23,2025-06-03 17:58:38.737267,Past put night.,Lawson-Summers
6cd46cf2-8994-4ff4-a0d2-6b43e3d04f06,3ca282bc-867c-425f-b33e-f93571354551,Withdrawal,-868.96,2025-03-10 03:27:47.529914,Purpose center trial.,James-Williams
26d30428-bf45-4e48-a02f-f5dd4960524c,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Withdrawal,-954.99,2025-03-23 02:08:42.266105,Whatever modern remain.,Holt LLC
f83b6d96-3530-4b51-aa8e-12ac1691b0f7,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Deposit,4263.94,2025-01-18 15:18:55.362132,List his teach.,
777740a8-0506-4389-91cb-aee025b6858a,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Withdrawal,-938.21,2025-04-22 12:36:42.850836,Simply side outside.,Stewart Group
e8eb8ca9-60da-43ac-9b1a-5566af7d6bec,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Withdrawal,-114.59,2025-07-12 18:51:24.423985,Benefit bad.,Gonzales Ltd
49a7888c-597f-41df-9681-8071e57c670b,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Payment,-974.18,2025-09-16 00:55:51.729868,Pattern college.,Smith-Jimenez
b7deaf2e-0287-41c9-b9aa-5179bceafea5,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Payment,-74.05,2025-04-21 09:16:05.291070,Government white.,Garza-Cooke
ee54e1d2-48d2-420f-925c-9531f5072a31,e4231ee7-61dc-4fd4-a9af-1981287f3cf9,Payment,-799.68,2025-06-20 11:21:03.846487,Meet same.,Ballard LLC
05db5ea5-8844-44e8-8841-f534cba6c549,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Fee,-43.02,2025-02-27 07:08:46.042082,Provide.,
457cf389-a7f6-42f5-8dc1-5dde32657d81,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Payment,-171.43,2025-07-26 04:32:12.752476,Message let.,Lucas and Sons
688929c9-2ceb-4349-b7f0-404a2d3f1991,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Payment,-890.03,2025-02-24 17:41:23.398874,Throughout event want.,Lopez Ltd
7f26b1d7-cbb6-4376-93d5-96249cb74ead,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Payment,-824.93,2025-11-18 17:12:35.138462,Task rich base.,Johnson PLC
8287376e-7330-4632-98a1-444a5d94ba73,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Deposit,797.97,2025-06-01 03:34:10.815016,Degree.,
67ef4c56-e8c8-4969-b7fc-094f364433da,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Payment,-563.14,2025-03-23 05:59:20.687145,Candidate forward can.,"Dudley, Phillips and Long"
982d3758-018e-43fb-a238-2006212a1c07,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Fee,-29.22,2025-04-30 01:39:32.243635,What summer beat.,
8d37788b-c6ff-4b00-860e-a7d73333b0cc,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Transfer,1926.64,2025-10-02 19:38:19.405819,Maybe wife million budget.,
8b4d519f-e8cb-4119-ba46-7ef0a1541eea,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Withdrawal,-473.16,2025-04-29 04:15:38.792803,Full successful easy really.,"Kirby, Rogers and Woodward"
8b82fd90-e928-46d6-bf63-49bbd66a770f,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Fee,-20.08,2025-11-28 23:44:21.286625,Answer quite.,
b8074288-bf88-462a-a496-289e8f498d81,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Fee,-45.0,2025-04-21 22:40:36.815321,Civil environment civil.,
479d508e-17b2-4dc7-925d-dbdde2790751,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Withdrawal,-806.74,2025-11-10 13:48:04.339640,Why buy create.,"Sullivan, Johnson and Esparza"
5cc5236b-aafe-4e73-9eb4-ec1376bced3b,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Transfer,126.62,2025-11-21 20:38:47.094990,Prevent plan fact.,
aba1ff20-30e4-438e-9986-8c5f6bde8064,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Payment,-446.34,2025-01-29 07:59:13.365498,Nature point laugh.,"Carter, Moses and Arias"
d8fe3327-0403-4a3a-84a8-ac0fc57d04eb,6cd00e4e-c798-4433-9e72-c5cbc2bed715,Fee,-13.05,2025-03-15 01:41:50.576828,Southern approach.,
fb5d72c5-b1c1-4b88-8238-14f65fe1727f,b7014367-f251-451e-9fb0-183cec2a69b6,Payment,-506.12,2025-03-24 01:10:29.337402,Sport much box.,"Hamilton, Young and Carter"
48c7034b-b35a-478b-97d0-dc832b95233e,b7014367-f251-451e-9fb0-183cec2a69b6,Withdrawal,-613.48,2025-07-17 20:58:38.190199,Nothing garden half early.,Kelly Ltd
0c2136ca-3d1d-424f-9ba6-94adce646f42,b7014367-f251-451e-9fb0-183cec2a69b6,Transfer,929.01,2025-10-22 06:58:31.632888,Common hand political.,
46b3679d-953d-4611-8bc2-0006b358bbeb,b7014367-f251-451e-9fb0-183cec2a69b6,Deposit,4816.1,2025-04-20 01:39:13.660466,Finally present.,
313cbfc9-e76c-4076-9fb4-8a093623455c,b7014367-f251-451e-9fb0-183cec2a69b6,Fee,-17.13,2025-07-28 04:53:00.266953,Man while magazine participant.,
8e3e4294-3682-44f9-9e9c-d97387b72361,b7014367-f251-451e-9fb0-183cec2a69b6,Withdrawal,-917.97,2025-09-11 07:02:21.997399,Structure husband.,Austin Ltd
8ae17ece-9eba-4ad9-ae05-242bba173035,b7014367-f251-451e-9fb0-183cec2a69b6,Deposit,2724.24,2025-07-25 19:52:34.024523,Eye.,
