transaction_id,account_id,transaction_type,amount,timestamp,description,merchant_name
c6f9a120-727e-4989-86b0-514b59f1792b,b2357077-5730-442f-a960-c7521a1c5403,Transfer,1349.33,2025-10-05 02:46:34.858977,Support left.,
0eaa9c23-f0a8-464a-a1cd-9855316502b2,b2357077-5730-442f-a960-c7521a1c5403,Payment,-144.47,2025-02-07 03:53:25.316239,Picture figure.,Roberts-Cooper
7effff6d-9390-4416-93aa-6e49a4778fc9,b2357077-5730-442f-a960-c7521a1c5403,Transfer,292.67,2025-01-30 08:20:21.892046,Natural argue.,
47fe6834-d2e7-4ca3-9870-e173f5035731,b2357077-5730-442f-a960-c7521a1c5403,Withdrawal,-428.66,2025-03-19 16:39:45.580393,Want partner.,"Haynes, Braun and Li"
a37476c9-8331-41e7-a6b9-a7b19270bed6,b2357077-5730-442f-a960-c7521a1c5403,Payment,-781.32,2024-12-16 14:51:18.863108,Through surface.,Robertson-Clayton
0b5ffe7c-dee5-4b9c-90d3-e8d236602627,b2357077-5730-442f-a960-c7521a1c5403,Fee,-34.55,2025-04-13 04:28:00.620627,Put yard executive.,
72f95090-98aa-4ad7-b1e0-82f14508464e,b2357077-5730-442f-a960-c7521a1c5403,Payment,-470.42,2025-08-11 12:29:33.419471,Continue should that.,Goodwin-Sanchez
4cfeb160-449a-469e-bc53-14a2ed237269,b2357077-5730-442f-a960-c7521a1c5403,Transfer,561.97,2025-05-18 18:21:48.961638,Chance contain language Mrs.,
88bdd465-1473-4902-8a81-e5b505e7fc08,b2357077-5730-442f-a960-c7521a1c5403,Fee,-33.96,2025-11-27 15:40:32.763045,Fine marriage general.,
7ca1fbbc-90bd-45d1-b1da-2e2a86e3fc2e,b2357077-5730-442f-a960-c7521a1c5403,Transfer,4266.66,2024-12-17 15:10:14.327097,Student learn mouth fast.,
4370dd26-e3ad-4547-97f2-8648ea24c642,b2357077-5730-442f-a960-c7521a1c5403,Transfer,2153.57,2025-08-09 17:52:13.973204,Wind time.,
67dcfd5e-5243-4eb9-b3a8-aa0aeefb6f2f,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Withdrawal,-738.24,2025-06-29 20:34:18.523716,Between see.,Olson-Rogers
402d8773-165c-4dbe-a1b9-c15a0441af75,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Payment,-921.2,2025-08-11 06:46:23.675264,Crime rate yeah her.,"Rodriguez, Palmer and Rowland"
da23515c-b162-4098-9db5-fd6433bf303f,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Fee,-19.32,2025-08-16 10:35:57.772765,Cover stay give.,
e0b41fd2-3380-4b99-8453-7009df864511,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Deposit,4201.34,2025-09-15 08:35:49.236481,Important degree effect.,
cdf1823b-b60e-4b33-8c5b-273d40c3b0cc,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Transfer,2482.37,2025-10-13 23:06:12.819215,Main east land.,
fa7cb860-08e1-49ca-9d31-619ff7c50f4b,ec12a269-5f8a-4f2e-80f7-0e231bbcca30,Withdrawal,-42.89,2025-02-23 03:44:03.957774,Agree character.,Ellis-Munoz
20f7f414-8484-47dd-8253-641d67628aac,1fc5bda6-c9dc-4618-b30d-0619e7fc27ad,Payment,-95.94,2025-02-05 00:11:44.415788,Point represent task.,Sloan and Sons
